"Station.ID" "Date" "dem" "x" "y" "WS" "temp" "HMIX" "PREC" "EMI" "PM10" "time" "logPM10"
"1" 1 2005-10-01 95.2 469.45 4972.85 0.9 288.81 1294.6 0 26.05 28 1 3.3322045101752
"2" 2 2005-10-01 164.1 423.48 4950.69 0.82 288.67 1139.8 0 18.74 22 1 3.09104245335832
"3" 3 2005-10-01 242.9 490.71 4948.86 0.96 287.44 1404 0 6.28 17 1 2.83321334405622
"4" 4 2005-10-01 149.9 437.36 4973.34 1.17 288.63 1042.4 0 29.35 25 1 3.2188758248682
"5" 5 2005-10-01 405 426.44 5045.66 0.6 287.63 1038.7 0 32.19 20 1 2.99573227355399
"6" 6 2005-10-01 257.5 394.6 5001.18 1.02 288.59 1048.3 0 34.24 41 1 3.71357206670431
"7" 7 2005-10-01 313.2 457.96 5061.46 1.09 287.46 1114.9 1.05 17.53 17 1 2.83321334405622
"8" 8 2005-10-01 345.2 444.29 5062.64 0.9 287.21 1062.6 0 11.97 18 1 2.89037175789616
"9" 9 2005-10-01 331 376.96 4993.48 0.64 287.33 973.89 0 16.15 33 1 3.49650756146648
"10" 10 2005-10-01 280.4 416.65 4985.65 0.81 288.06 995 0 5.93 23 1 3.13549421592915
"11" 11 2005-10-01 238.8 399.22 4967.87 0.57 288.18 1000 0 14.11 29 1 3.36729582998647
"12" 12 2005-10-01 118.3 456.49 4998.42 1.02 288.93 1131.4 0 25.54 32 1 3.46573590279973
"13" 13 2005-10-01 124.7 483.36 5028.7 0.91 289.16 1010.4 0 7.02 NA 1 NA
"14" 14 2005-10-01 551.6 383.63 4915.52 0.82 287.36 976.52 0 24.09 34 1 3.52636052461616
"15" 15 2005-10-01 271.7 436.69 5046.69 0.81 287.83 1075.1 0 19.26 17 1 2.83321334405622
"16" 16 2005-10-01 337 386.95 5003.68 0.77 288.25 1019.1 0 7.08 24 1 3.17805383034795
"17" 17 2005-10-01 154 470.41 5031.91 1.09 288.73 882.32 0 36.7 27 1 3.29583686600433
"18" 18 2005-10-01 201.7 483.16 4956.77 1.22 288.2 1410.9 0 12.22 36 1 3.58351893845611
"19" 19 2005-10-01 374.9 368.18 4971.65 0.68 288.53 958.9 0 23.6 37 1 3.61091791264422
"20" 20 2005-10-01 243.6 393.64 4986.79 0.72 288.43 1045 0 187.11 28 1 3.3322045101752
"21" 21 2005-10-01 243.6 396.04 4992.42 0.68 288.77 1108 0 184.5 46 1 3.8286413964891
"22" 22 2005-10-01 118.5 489 4971.8 1.06 288.7 1434.4 0 22.45 19 1 2.94443897916644
"23" 23 2005-10-01 131 454.26 5019.81 0.8 288.18 860.93 0 26.15 32 1 3.46573590279973
"24" 24 2005-10-01 201.4 466.4 5086.6 1.27 289.28 617.04 1.8 16.78 11 1 2.39789527279837
"25" 1 2005-10-02 95.2 469.45 4972.85 1.53 286.48 566.56 8.92 22.21 14 2 2.63905732961526
"26" 2 2005-10-02 164.1 423.48 4950.69 1.41 285.79 513.36 16.72 15.37 10 2 2.30258509299405
"27" 3 2005-10-02 242.9 490.71 4948.86 0.85 285.39 805.3 24.75 5.24 15 2 2.70805020110221
"28" 4 2005-10-02 149.9 437.36 4973.34 1.93 285.73 626.11 32.06 25.09 8 2 2.07944154167984
"29" 5 2005-10-02 405 426.44 5045.66 0.97 285 981.95 28.71 26.45 NA 2 NA
"30" 6 2005-10-02 257.5 394.6 5001.18 1.94 285.84 668.2 7.46 26.23 19 2 2.94443897916644
"31" 7 2005-10-02 313.2 457.96 5061.46 2.88 284.74 920.27 22.99 14.42 NA 2 NA
"32" 8 2005-10-02 345.2 444.29 5062.64 1.6 284 914.5 22.4 9.26 16 2 2.77258872223978
"33" 9 2005-10-02 331 376.96 4993.48 0.89 285.43 681.28 3.51 12.92 20 2 2.99573227355399
"34" 10 2005-10-02 280.4 416.65 4985.65 1.19 285.34 725 13.53 5.27 9 2 2.19722457733622
"35" 11 2005-10-02 238.8 399.22 4967.87 1.34 285.98 618.66 16.7 12.51 13 2 2.56494935746154
"36" 12 2005-10-02 118.3 456.49 4998.42 1.76 285.84 550.63 20.53 21.08 26 2 3.25809653802148
"37" 13 2005-10-02 124.7 483.36 5028.7 1.95 285.71 481.18 14.47 5.74 NA 2 NA
"38" 14 2005-10-02 551.6 383.63 4915.52 1.57 284.47 409.34 38.09 18.7 16 2 2.77258872223978
"39" 15 2005-10-02 271.7 436.69 5046.69 1.46 284.94 897.05 31.49 15.05 26 2 3.25809653802148
"40" 16 2005-10-02 337 386.95 5003.68 1.29 285.68 660.69 8.76 5.34 18 2 2.89037175789616
"41" 17 2005-10-02 154 470.41 5031.91 2.23 285.33 432.15 23.01 28.38 12 2 2.484906649788
"42" 18 2005-10-02 201.7 483.16 4956.77 1.11 286.07 526.04 13.85 9.6 29 2 3.36729582998647
"43" 19 2005-10-02 374.9 368.18 4971.65 0.94 285.69 654.08 19.36 19.66 27 2 3.29583686600433
"44" 20 2005-10-02 243.6 393.64 4986.79 1.43 285.69 625.88 12.04 145.86 13 2 2.56494935746154
"45" 21 2005-10-02 243.6 396.04 4992.42 1.53 285.79 661.37 9.82 150.31 25 2 3.2188758248682
"46" 22 2005-10-02 118.5 489 4971.8 1.22 286.41 505.1 15.54 18.32 11 2 2.39789527279837
"47" 23 2005-10-02 131 454.26 5019.81 2.65 285.52 454.8 23.35 21.82 26 2 3.25809653802148
"48" 24 2005-10-02 201.4 466.4 5086.6 2.97 285.53 692.51 41.14 13.96 5 2 1.6094379124341
"49" 1 2005-10-03 95.2 469.45 4972.85 0.99 284.6 416.55 15.17 37.94 16 3 2.77258872223978
"50" 2 2005-10-03 164.1 423.48 4950.69 0.8 283.19 534.71 16.81 21.19 6 3 1.79175946922805
"51" 3 2005-10-03 242.9 490.71 4948.86 0.81 283.03 426.88 22.1 7.94 10 3 2.30258509299405
"52" 4 2005-10-03 149.9 437.36 4973.34 1.45 283.72 384.78 11.41 32.8 13 3 2.56494935746154
"53" 5 2005-10-03 405 426.44 5045.66 1.14 283.29 943.32 24.29 35.98 4 3 1.38629436111989
"54" 6 2005-10-03 257.5 394.6 5001.18 1.57 284.05 659.7 11.89 47.61 12 3 2.484906649788
"55" 7 2005-10-03 313.2 457.96 5061.46 2.35 283.63 513.74 17.42 22.94 9 3 2.19722457733622
"56" 8 2005-10-03 345.2 444.29 5062.64 1.92 282.68 635.25 21.77 15.03 9 3 2.19722457733622
"57" 9 2005-10-03 331 376.96 4993.48 1.16 283.07 544.34 15.21 23.46 6 3 1.79175946922805
"58" 10 2005-10-03 280.4 416.65 4985.65 1.21 283.38 506.52 10.32 6.77 12 3 2.484906649788
"59" 11 2005-10-03 238.8 399.22 4967.87 1.07 283.66 527.02 22.97 15.19 4 3 1.38629436111989
"60" 12 2005-10-03 118.3 456.49 4998.42 1.47 284.48 377.46 14.76 28.86 15 3 2.70805020110221
"61" 13 2005-10-03 124.7 483.36 5028.7 1.82 284.61 275.87 7.63 9.66 NA 3 NA
"62" 14 2005-10-03 551.6 383.63 4915.52 1.62 281.12 478.43 37.92 28 4 3 1.38629436111989
"63" 15 2005-10-03 271.7 436.69 5046.69 1.54 283.64 847.23 23.27 21.9 9 3 2.19722457733622
"64" 16 2005-10-03 337 386.95 5003.68 1.42 283.69 612.25 18.78 11.06 9 3 2.19722457733622
"65" 17 2005-10-03 154 470.41 5031.91 2.02 284.22 234.68 20.74 42.53 8 3 2.07944154167984
"66" 18 2005-10-03 201.7 483.16 4956.77 0.97 283.91 369.48 15.9 14.49 25 3 3.2188758248682
"67" 19 2005-10-03 374.9 368.18 4971.65 0.87 283 571.45 27.94 25.94 18 3 2.89037175789616
"68" 20 2005-10-03 243.6 393.64 4986.79 1.1 283.57 588.02 10.29 227.62 10 3 2.30258509299405
"69" 21 2005-10-03 243.6 396.04 4992.42 1.12 283.91 665.79 9.37 208.71 20 3 2.99573227355399
"70" 22 2005-10-03 118.5 489 4971.8 0.7 284.48 411.56 18.25 32.14 9 3 2.19722457733622
"71" 23 2005-10-03 131 454.26 5019.81 1.82 284.19 227.65 29.37 29.65 15 3 2.70805020110221
"72" 24 2005-10-03 201.4 466.4 5086.6 2.23 284.51 524.45 22.08 22.02 5 3 1.6094379124341
"73" 1 2005-10-04 95.2 469.45 4972.85 1.44 285.59 577.17 9.48 37.87 16 4 2.77258872223978
"74" 2 2005-10-04 164.1 423.48 4950.69 0.68 284.32 750.94 17.73 21.09 9 4 2.19722457733622
"75" 3 2005-10-04 242.9 490.71 4948.86 0.64 283.95 404.47 2.01 7.93 14 4 2.63905732961526
"76" 4 2005-10-04 149.9 437.36 4973.34 1.29 284.82 904.61 20.37 32.92 15 4 2.70805020110221
"77" 5 2005-10-04 405 426.44 5045.66 0.8 284.58 1276.9 6.64 35.77 13 4 2.56494935746154
"78" 6 2005-10-04 257.5 394.6 5001.18 1.34 285.22 1213.1 14.71 47.66 14 4 2.63905732961526
"79" 7 2005-10-04 313.2 457.96 5061.46 1.53 285.32 1342.3 4.92 22.84 11 4 2.39789527279837
"80" 8 2005-10-04 345.2 444.29 5062.64 1.3 284.22 1343.8 9.44 14.96 9 4 2.19722457733622
"81" 9 2005-10-04 331 376.96 4993.48 1 284 1083.8 14.48 23.6 16 4 2.77258872223978
"82" 10 2005-10-04 280.4 416.65 4985.65 0.93 284.47 1128.8 8.05 6.76 11 4 2.39789527279837
"83" 11 2005-10-04 238.8 399.22 4967.87 1.01 284.94 1102.2 12.4 15.23 11 4 2.39789527279837
"84" 12 2005-10-04 118.3 456.49 4998.42 1.21 285.72 587.14 12 28.7 8 4 2.07944154167984
"85" 13 2005-10-04 124.7 483.36 5028.7 1.36 286.28 960.46 2.58 9.63 NA 4 NA
"86" 14 2005-10-04 551.6 383.63 4915.52 1.14 282.06 625.16 16.21 27.86 5 4 1.6094379124341
"87" 15 2005-10-04 271.7 436.69 5046.69 1.08 285.19 1283.7 5.59 21.79 12 4 2.484906649788
"88" 16 2005-10-04 337 386.95 5003.68 1.15 284.78 1167.4 22.48 11.03 7 4 1.94591014905531
"89" 17 2005-10-04 154 470.41 5031.91 1.55 285.94 855.88 5.19 42.38 12 4 2.484906649788
"90" 18 2005-10-04 201.7 483.16 4956.77 1.01 284.92 512.98 5.12 14.43 29 4 3.36729582998647
"91" 19 2005-10-04 374.9 368.18 4971.65 0.68 284.24 1054.4 12.74 25.9 9 4 2.19722457733622
"92" 20 2005-10-04 243.6 393.64 4986.79 0.87 284.75 1176.3 10.8 226.41 12 4 2.484906649788
"93" 21 2005-10-04 243.6 396.04 4992.42 0.92 285.15 1263.3 14.24 207.42 23 4 3.13549421592915
"94" 22 2005-10-04 118.5 489 4971.8 1.32 285.47 565.46 6.93 32.13 16 4 2.77258872223978
"95" 23 2005-10-04 131 454.26 5019.81 1.1 285.9 844.35 7.09 29.52 18 4 2.89037175789616
"96" 24 2005-10-04 201.4 466.4 5086.6 2.04 286.18 842.23 14.42 21.89 5 4 1.6094379124341
"97" 1 2005-10-05 95.2 469.45 4972.85 0.97 286 563.61 2.42 39.03 24 5 3.17805383034795
"98" 2 2005-10-05 164.1 423.48 4950.69 0.64 285.27 465.31 1.92 21.93 12 5 2.484906649788
"99" 3 2005-10-05 242.9 490.71 4948.86 0.65 284.26 395.51 2.5 8.16 16 5 2.77258872223978
