yy;mm;banda;SiteID;Tmax;Elevation;x;y
1961;1;1;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1962;1;2;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1963;1;3;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1964;1;4;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1965;1;5;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1966;1;6;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1967;1;7;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1968;1;8;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1969;1;9;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1970;1;10;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1971;1;11;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1972;1;12;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1973;1;13;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1974;1;14;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1975;1;15;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1976;1;16;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1977;1;17;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1978;1;18;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1979;1;19;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1980;1;20;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1981;1;21;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1982;1;22;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1983;1;23;abruzzo_1112;13.470967741935484;317.84967041015625;907.3765425823599;4700.063651681643
1984;1;24;abruzzo_1112;10.064516129032258;317.84967041015625;907.3765425823599;4700.063651681643
1985;1;25;abruzzo_1112;6.258064516129032;317.84967041015625;907.3765425823599;4700.063651681643
1986;1;26;abruzzo_1112;10.251612903225807;317.84967041015625;907.3765425823599;4700.063651681643
1987;1;27;abruzzo_1112;8.383870967741935;317.84967041015625;907.3765425823599;4700.063651681643
1988;1;28;abruzzo_1112;11.451612903225806;317.84967041015625;907.3765425823599;4700.063651681643
1989;1;29;abruzzo_1112;9.587096774193547;317.84967041015625;907.3765425823599;4700.063651681643
1990;1;30;abruzzo_1112;11.848387096774193;317.84967041015625;907.3765425823599;4700.063651681643
1991;1;31;abruzzo_1112;9.803225806451612;317.84967041015625;907.3765425823599;4700.063651681643
1992;1;32;abruzzo_1112;6.274193548387097;317.84967041015625;907.3765425823599;4700.063651681643
1993;1;33;abruzzo_1112;10.306451612903226;317.84967041015625;907.3765425823599;4700.063651681643
1994;1;34;abruzzo_1112;10.95483870967742;317.84967041015625;907.3765425823599;4700.063651681643
1995;1;35;abruzzo_1112;10.483870967741936;317.84967041015625;907.3765425823599;4700.063651681643
1996;1;36;abruzzo_1112;10.196774193548388;317.84967041015625;907.3765425823599;4700.063651681643
1997;1;37;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
1998;1;38;abruzzo_1112;10.596774193548386;317.84967041015625;907.3765425823599;4700.063651681643
1999;1;39;abruzzo_1112;11.148387096774194;317.84967041015625;907.3765425823599;4700.063651681643
2000;1;40;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
2001;1;41;abruzzo_1112;NA;317.84967041015625;907.3765425823599;4700.063651681643
2002;1;42;abruzzo_1112;8.509677419354839;317.84967041015625;907.3765425823599;4700.063651681643
2003;1;43;abruzzo_1112;10.37741935483871;317.84967041015625;907.3765425823599;4700.063651681643
2004;1;44;abruzzo_1112;9.364516129032259;317.84967041015625;907.3765425823599;4700.063651681643
2005;1;45;abruzzo_1112;8.706451612903226;317.84967041015625;907.3765425823599;4700.063651681643
2006;1;46;abruzzo_1112;7.551612903225807;317.84967041015625;907.3765425823599;4700.063651681643
2007;1;47;abruzzo_1112;14.296774193548387;317.84967041015625;907.3765425823599;4700.063651681643
2008;1;48;abruzzo_1112;11.151612903225807;317.84967041015625;907.3765425823599;4700.063651681643
2009;1;49;abruzzo_1112;8.8;317.84967041015625;907.3765425823599;4700.063651681643
2010;1;50;abruzzo_1112;8.770967741935484;317.84967041015625;907.3765425823599;4700.063651681643
2011;1;51;abruzzo_1112;9.958064516129031;317.84967041015625;907.3765425823599;4700.063651681643
2012;1;52;abruzzo_1112;11.119354838709677;317.84967041015625;907.3765425823599;4700.063651681643
2013;1;53;abruzzo_1112;10.86774193548387;317.84967041015625;907.3765425823599;4700.063651681643
2014;1;54;abruzzo_1112;12.845161290322581;317.84967041015625;907.3765425823599;4700.063651681643
2015;1;55;abruzzo_1112;11.86774193548387;317.84967041015625;907.3765425823599;4700.063651681643
2016;1;56;abruzzo_1112;11.706451612903226;317.84967041015625;907.3765425823599;4700.063651681643
2017;1;57;abruzzo_1112;6.332258064516129;317.84967041015625;907.3765425823599;4700.063651681643
2018;1;58;abruzzo_1112;12.764516129032257;317.84967041015625;907.3765425823599;4700.063651681643
2019;1;59;abruzzo_1112;8.42258064516129;317.84967041015625;907.3765425823599;4700.063651681643
2020;1;60;abruzzo_1112;11.609677419354838;317.84967041015625;907.3765425823599;4700.063651681643
1961;1;1;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1962;1;2;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1963;1;3;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1964;1;4;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1965;1;5;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1966;1;6;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1967;1;7;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1968;1;8;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1969;1;9;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1970;1;10;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1971;1;11;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1972;1;12;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1973;1;13;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1974;1;14;abruzzo_1940;10.593548387096774;273.63104248046875;944.410442239851;4688.90642983456
1975;1;15;abruzzo_1940;12.3;273.63104248046875;944.410442239851;4688.90642983456
1976;1;16;abruzzo_1940;10.851612903225806;273.63104248046875;944.410442239851;4688.90642983456
1977;1;17;abruzzo_1940;12.103225806451613;273.63104248046875;944.410442239851;4688.90642983456
1978;1;18;abruzzo_1940;10.941935483870967;273.63104248046875;944.410442239851;4688.90642983456
1979;1;19;abruzzo_1940;7.570967741935484;273.63104248046875;944.410442239851;4688.90642983456
1980;1;20;abruzzo_1940;8.638709677419355;273.63104248046875;944.410442239851;4688.90642983456
1981;1;21;abruzzo_1940;6.648387096774194;273.63104248046875;944.410442239851;4688.90642983456
1982;1;22;abruzzo_1940;9.667741935483871;273.63104248046875;944.410442239851;4688.90642983456
1983;1;23;abruzzo_1940;12.074193548387097;273.63104248046875;944.410442239851;4688.90642983456
1984;1;24;abruzzo_1940;10.348387096774193;273.63104248046875;944.410442239851;4688.90642983456
1985;1;25;abruzzo_1940;7.319354838709677;273.63104248046875;944.410442239851;4688.90642983456
1986;1;26;abruzzo_1940;8.7;273.63104248046875;944.410442239851;4688.90642983456
1987;1;27;abruzzo_1940;8.36774193548387;273.63104248046875;944.410442239851;4688.90642983456
1988;1;28;abruzzo_1940;11.948387096774193;273.63104248046875;944.410442239851;4688.90642983456
1989;1;29;abruzzo_1940;11.283870967741935;273.63104248046875;944.410442239851;4688.90642983456
1990;1;30;abruzzo_1940;10.006451612903225;273.63104248046875;944.410442239851;4688.90642983456
1991;1;31;abruzzo_1940;9.667741935483871;273.63104248046875;944.410442239851;4688.90642983456
1992;1;32;abruzzo_1940;9.12258064516129;273.63104248046875;944.410442239851;4688.90642983456
1993;1;33;abruzzo_1940;8.658064516129032;273.63104248046875;944.410442239851;4688.90642983456
1994;1;34;abruzzo_1940;11.048387096774194;273.63104248046875;944.410442239851;4688.90642983456
1995;1;35;abruzzo_1940;10.567741935483872;273.63104248046875;944.410442239851;4688.90642983456
1996;1;36;abruzzo_1940;9.716129032258065;273.63104248046875;944.410442239851;4688.90642983456
1997;1;37;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
1998;1;38;abruzzo_1940;10.941935483870967;273.63104248046875;944.410442239851;4688.90642983456
1999;1;39;abruzzo_1940;11.025806451612903;273.63104248046875;944.410442239851;4688.90642983456
2000;1;40;abruzzo_1940;9.25483870967742;273.63104248046875;944.410442239851;4688.90642983456
2001;1;41;abruzzo_1940;12.135483870967741;273.63104248046875;944.410442239851;4688.90642983456
2002;1;42;abruzzo_1940;9.4;273.63104248046875;944.410442239851;4688.90642983456
2003;1;43;abruzzo_1940;11.609677419354838;273.63104248046875;944.410442239851;4688.90642983456
2004;1;44;abruzzo_1940;10.390322580645162;273.63104248046875;944.410442239851;4688.90642983456
2005;1;45;abruzzo_1940;9.6;273.63104248046875;944.410442239851;4688.90642983456
2006;1;46;abruzzo_1940;8.522580645161291;273.63104248046875;944.410442239851;4688.90642983456
2007;1;47;abruzzo_1940;14.338709677419356;273.63104248046875;944.410442239851;4688.90642983456
2008;1;48;abruzzo_1940;11.193548387096774;273.63104248046875;944.410442239851;4688.90642983456
2009;1;49;abruzzo_1940;9.4;273.63104248046875;944.410442239851;4688.90642983456
2010;1;50;abruzzo_1940;9.051612903225806;273.63104248046875;944.410442239851;4688.90642983456
2011;1;51;abruzzo_1940;9.338709677419354;273.63104248046875;944.410442239851;4688.90642983456
2012;1;52;abruzzo_1940;NA;273.63104248046875;944.410442239851;4688.90642983456
